Date,Open,High,Low,Close,Volume
1999-08-04,3936.97,4064.56,3936.97,3946.06,317884
1999-08-05,3936.97,3936.97,3827.64,3854.9,154718
1999-08-06,3809.27,3827.64,3736.49,3736.49,114447
1999-08-09,3736.49,3791.11,3690.86,3727.31,109948
1999-08-10,3745.58,3800.19,3736.49,3800.19,70664
1999-08-11,3800.19,3845.82,3745.58,3782.02,104132
1999-08-12,3827.64,4009.85,3791.11,3982.59,136942
1999-08-13,3991.69,4009.85,3936.97,3936.97,176226
1999-08-16,3946.06,4046.3,3936.97,3946.06,89099
1999-08-17,3946.06,3964.23,3836.73,3863.98,93379
1999-08-18,3818.55,3863.98,3654.51,3672.7,236466
1999-08-19,3709.05,3754.65,3690.86,3690.86,114887
1999-08-20,3699.95,3754.65,3681.8,3745.58,190161
1999-08-23,3745.58,3800.19,3745.58,3745.58,138367
1999-08-24,3782.02,3782.02,3736.49,3745.58,132772
1999-08-25,3736.49,3745.58,3690.86,3690.86,105669
1999-08-26,3709.05,3754.65,3690.86,3690.86,96561
1999-08-27,3736.49,3763.85,3699.95,3709.05,109181
1999-08-30,3727.31,3791.11,3709.05,3718.22,130138
1999-08-31,3718.22,3727.31,3645.35,3645.35,222969
1999-09-01,3690.86,3709.05,3672.7,3681.8,164813
1999-09-02,3681.8,3709.05,3645.35,3654.51,164374
1999-09-03,3645.35,3681.8,3645.35,3663.69,116093
1999-09-06,3709.05,3709.05,3663.69,3681.8,66384
1999-09-07,3681.8,3681.8,3599.81,3599.81,164154
1999-09-08,3608.99,3654.51,3599.81,3654.51,102048
1999-09-09,3654.51,3663.69,3618.07,3636.25,94368
1999-09-10,3645.35,3672.7,3618.07,3654.51,399851
1999-09-13,3654.51,3818.55,3636.25,3809.27,233175
1999-09-14,3699.95,3754.65,3654.51,3654.51,163166
1999-09-16,3608.99,3627.17,3508.74,3554.19,245244
1999-09-17,3526.92,3526.92,3399.23,3463.13,272565
1999-09-20,3490.48,3526.92,3463.13,3481.31,221762
1999-09-21,3472.21,3536.02,3472.21,3536.02,90526
1999-09-22,3481.31,3499.57,3444.87,3463.13,172054
1999-09-24,3417.59,3490.48,3399.23,3490.48,161740
1999-09-27,3490.48,3554.19,3472.21,3554.19,113569
1999-09-28,3554.19,3618.07,3508.74,3599.81,56072
1999-09-29,3517.84,3554.19,3508.74,3517.84,57717
1999-09-30,3554.19,3636.25,3554.19,3563.37,94148
1999-10-01,3563.37,3590.72,3472.21,3472.21,123224
1999-10-04,3517.84,3554.19,3481.31,3536.02,64630
1999-10-05,3490.48,3508.74,3444.87,3454.03,209581
1999-10-06,3454.03,3472.21,3426.68,3426.68,117191
1999-10-07,3472.21,3745.58,3454.03,3736.49,228125
1999-10-08,3763.85,3800.19,3709.05,3745.58,252815
1999-10-12,3745.58,3782.02,3709.05,3782.02,206509
1999-10-13,3736.49,3782.02,3718.22,3718.22,133978
1999-10-14,3718.22,3736.49,3690.86,3690.86,99414
1999-10-15,3681.8,3690.86,3645.35,3690.86,132772
1999-10-18,3709.05,3782.02,3690.86,3727.31,198169
1999-10-19,3727.31,3736.49,3636.25,3654.51,218031
1999-10-20,3791.11,3918.78,3791.11,3882.27,400291
1999-10-21,3918.78,4110.1,3918.78,4046.3,357936
1999-10-22,4082.82,4155.72,4037.21,4037.21,418944
1999-10-25,4173.88,4265.04,4146.64,4192.16,458447
1999-10-26,4219.43,4246.87,4155.72,4183.08,397985
1999-10-27,4146.64,4155.72,4073.66,4101,199926
1999-10-28,4055.38,4101,3991.69,4009.85,121688
1999-10-29,4055.38,4101,4028.11,4101,131895
1999-11-01,4082.82,4110.1,4037.21,4046.3,113680
1999-11-02,4046.3,4055.38,4018.94,4018.94,105888
1999-11-04,4009.85,4046.3,3927.88,3936.97,242938
1999-11-05,3973.4,4009.85,3927.88,3946.06,209143
1999-11-08,3991.69,4018.94,3936.97,3964.23,275088
1999-11-09,3936.97,3964.23,3927.88,3927.88,181601
