Date,Open,High,Low,Close,Volume
1999-04-06,2164.87,2257.12,2137.24,2257.12,299060
1999-04-07,2257.12,2330.76,2229.29,2330.76,381341
1999-04-08,2330.76,2395.15,2266.24,2376.71,431382
1999-04-09,2487.38,2487.38,2404.46,2422.78,690168
1999-04-12,2404.46,2487.38,2395.15,2450.43,309914
1999-04-13,2459.66,2468.87,2395.15,2422.78,459714
1999-04-14,2376.71,2386.03,2321.52,2349.07,359088
1999-04-15,2367.51,2367.51,2293.78,2312.32,228173
1999-04-16,2303,2395.15,2293.78,2349.07,371245
1999-04-19,2395.15,2477.99,2349.07,2468.87,306766
1999-04-20,2432.09,2468.87,2422.78,2459.66,163587
1999-04-21,2422.78,2432.09,2358.28,2386.03,107249
1999-04-22,2386.03,2404.46,2349.07,2386.03,177806
1999-04-23,2432.09,2468.87,2395.15,2459.66,281690
1999-04-26,2487.38,2533.35,2459.66,2496.49,329780
1999-04-27,2514.93,2671.58,2514.93,2653.07,792098
1999-04-28,2653.07,2662.38,2597.87,2662.38,446254
1999-04-30,2662.38,2662.38,2533.35,2533.35,222856
1999-05-06,2616.3,2717.67,2616.3,2708.35,434531
1999-05-07,2800.49,3030.86,2782.16,3030.86,1412794
1999-05-10,2984.8,2984.8,2901.86,2929.49,185948
1999-05-11,2929.49,2929.49,2800.49,2809.71,241311
1999-05-12,2809.71,2837.44,2763.65,2809.71,146218
1999-05-13,2782.16,2782.16,2708.35,2726.78,197781
1999-05-14,2763.65,2763.65,2680.79,2680.79,254336
1999-05-17,2625.42,2634.74,2570.23,2579.44,147630
1999-05-18,2561.01,2597.87,2533.35,2570.23,180737
1999-05-19,2542.59,2579.44,2505.83,2542.59,214497
1999-05-20,2579.44,2597.87,2432.09,2441.24,301772
1999-05-21,2459.66,2579.44,2422.78,2570.23,266493
1999-05-24,2561.01,2570.23,2514.93,2561.01,121904
1999-05-25,2551.8,2570.23,2505.83,2561.01,141226
1999-05-26,2487.38,2561.01,2487.38,2524.05,59593
1999-05-27,2570.23,2570.23,2496.49,2561.01,106055
1999-05-28,2487.38,2561.01,2487.38,2505.83,95199
1999-05-31,2477.99,2570.23,2441.24,2570.23,121143
1999-06-01,2533.35,2570.23,2487.38,2514.93,77505
1999-06-02,2514.93,2514.93,2432.09,2441.24,213301
1999-06-03,2441.24,2450.43,2349.07,2367.51,293956
1999-06-04,2395.15,2395.15,2367.51,2376.71,199519
1999-06-07,2386.03,2404.46,2386.03,2386.03,229043
1999-06-08,2395.15,2468.87,2395.15,2422.78,339440
1999-06-09,2395.15,2441.24,2395.15,2422.78,163153
1999-06-10,2432.09,2533.35,2432.09,2514.93,391545
1999-06-11,2468.87,2533.35,2404.46,2441.24,860812
1999-06-14,2450.43,2496.49,2450.43,2477.99,241851
1999-06-15,2487.38,2533.35,2477.99,2533.35,172270
1999-06-16,2542.59,2689.92,2542.59,2671.58,929308
1999-06-17,2708.35,2726.78,2634.74,2662.38,418791
1999-06-18,2671.58,2671.58,2542.59,2561.01,269100
1999-06-21,2542.59,2561.01,2487.38,2524.05,510191
1999-06-22,2524.05,2533.35,2477.99,2514.93,309697
1999-06-23,2468.87,2477.99,2441.24,2450.43,396863
1999-06-24,2459.66,2477.99,2413.57,2477.99,187250
1999-06-25,2450.43,2487.38,2441.24,2441.24,139814
1999-06-28,2441.24,2459.66,2441.24,2459.66,93571
1999-06-29,2477.99,2487.38,2441.24,2450.43,178024
1999-06-30,2477.99,2477.99,2395.15,2395.15,223940
1999-07-01,2413.57,2487.38,2395.15,2395.15,310675
1999-07-02,2432.09,2450.43,2376.71,2376.71,261608
1999-07-05,2432.09,2432.09,2395.15,2422.78,146762
1999-07-06,2422.78,2441.24,2376.71,2376.71,201472
1999-07-07,2395.15,2450.43,2386.03,2395.15,188010
1999-07-08,2441.24,2505.83,2413.57,2487.38,419985
1999-07-09,2524.05,2542.59,2468.87,2468.87,432360
1999-07-12,2477.99,2487.38,2459.66,2468.87,128742
1999-07-13,2468.87,2468.87,2432.09,2468.87,159245
1999-07-14,2450.43,2450.43,2413.57,2450.43,124508
1999-07-15,2404.46,2422.78,2376.71,2386.03,293522
1999-07-16,2339.95,2432.09,2312.32,2358.28,350515
1999-07-19,2404.46,2422.78,2339.95,2404.46,298841
1999-07-21,2395.15,2441.24,2386.03,2432.09,204076
1999-07-22,2450.43,2450.43,2330.76,2330.76,183995
1999-07-23,2284.66,2284.66,2174.09,2183.31,341286
1999-07-26,2229.29,2247.72,2192.52,2238.6,157292
1999-07-27,2220.16,2229.29,2164.87,2201.73,202450
1999-07-28,2174.09,2201.73,2164.87,2164.87,89664
1999-07-29,2174.09,2210.94,2146.44,2164.87,203860
1999-07-30,2210.94,2247.72,2201.73,2238.6,190833
1999-08-02,2247.72,2284.66,2220.16,2229.29,152407
1999-08-03,2303,2358.28,2257.12,2358.28,274091
1999-08-04,2367.51,2367.51,2247.72,2257.12,153601
1999-08-05,2266.24,2303,2247.72,2303,278651
1999-08-06,2210.94,2229.29,2164.87,2192.52,185298
1999-08-09,2174.09,2229.29,2174.09,2192.52,128850
1999-08-10,2220.16,2229.29,2183.31,2210.94,87818
1999-08-11,2192.52,2229.29,2183.31,2201.73,70667
1999-08-12,2247.72,2293.78,2201.73,2293.78,67084
1999-08-13,2339.95,2339.95,2247.72,2275.45,149259
1999-08-16,2303,2339.95,2266.24,2293.78,64154
1999-08-17,2257.12,2257.12,2210.94,2257.12,116585
1999-08-18,2072.73,2164.87,2026.75,2045.09,954817
1999-08-19,2045.09,2072.73,1851.58,1962.14,997044
1999-08-20,1989.87,2100.37,1980.57,1989.87,457760
1999-08-23,2026.75,2063.52,2008.34,2063.52,364949
1999-08-24,2109.68,2118.81,2035.96,2035.96,176614
1999-08-25,2035.96,2045.09,1916.18,1916.18,436701
1999-08-26,1952.94,2008.34,1952.94,1971.46,312844
1999-08-27,2017.45,2026.75,1980.57,1989.87,551659
1999-08-30,1925.38,1952.94,1906.95,1934.62,611902
1999-08-31,1971.46,2072.73,1934.62,1934.62,1277974
1999-09-01,1980.57,2063.52,1980.57,2063.52,514208
1999-09-02,2081.95,2091.25,2017.45,2035.96,248799
1999-09-03,2063.52,2063.52,2026.75,2054.29,144591
1999-09-06,2100.37,2100.37,2017.45,2017.45,168471
1999-09-07,2026.75,2045.09,1962.14,1980.57,207009
1999-09-08,2008.34,2017.45,1934.62,1971.46,296996
1999-09-09,1980.57,2045.09,1971.46,2035.96,258679
1999-09-10,1962.14,2026.75,1962.14,1980.57,586611
1999-09-13,1962.14,1980.57,1925.38,1925.38,430080
1999-09-14,1925.38,1943.82,1860.98,1888.53,434204
1999-09-16,1860.98,1870.1,1842.45,1860.98,314148
1999-09-17,1860.98,1888.53,1851.58,1888.53,263563
1999-09-20,1897.65,1906.95,1870.1,1888.53,132649
1999-09-21,1888.53,1906.95,1879.21,1897.65,267146
1999-09-22,1860.98,1870.1,1824.04,1870.1,393498
1999-09-24,1842.45,1842.45,1796.29,1805.6,269750
1999-09-27,1842.45,1851.58,1814.82,1814.82,148064
1999-09-28,1842.45,1851.58,1824.04,1842.45,99650
1999-09-29,1888.53,1888.53,1814.82,1833.23,121796
1999-09-30,1842.45,1870.1,1833.23,1833.23,251188
